area	region	plot	habtiat	year	season	session	Mruf	Mrut	rodsp	Moec	Llem
varanger	nordkynn	hol10	lemming	2005	spring	2005spring	3	0	0	0	0
varanger	nordkynn	hol11	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	nordkynn	hol12	lemming	2005	spring	2005spring	1	0	0	0	0
varanger	nordkynn	hol13	lemming	2005	spring	2005spring	3	0	0	0	0
varanger	nordkynn	hol14	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	nordkynn	hol2	lemming	2005	spring	2005spring	0	0	0	0	1
varanger	nordkynn	hol3	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	nordkynn	hol4	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	nordkynn	hol5	lemming	2005	spring	2005spring	0	0	0	0	1
varanger	nordkynn	hol6	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	nordkynn	hol7	lemming	2005	spring	2005spring	1	0	0	0	1
varanger	nordkynn	hol8	lemming	2005	spring	2005spring	0	0	0	2	0
varanger	nordkynn	hol9	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	stjernevann	stg1	greysided	2005	spring	2005spring	1	0	0	0	0
varanger	stjernevann	stg10	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	stjernevann	stg2	greysided	2005	spring	2005spring	1	0	0	0	0
varanger	stjernevann	stg3	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	stjernevann	stg4	greysided	2005	spring	2005spring	1	0	1	0	0
varanger	stjernevann	stg5	greysided	2005	spring	2005spring	2	0	0	0	0
varanger	stjernevann	stg6	greysided	2005	spring	2005spring	3	0	0	0	0
varanger	stjernevann	stg7	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	stjernevann	stg8	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	stjernevann	stg9	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	stjernevann	stl1	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	stjernevann	stl10	lemming	2005	spring	2005spring	1	0	0	0	0
varanger	stjernevann	stl11	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	stjernevann	stl12	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	stjernevann	stl13	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	stjernevann	stl14	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	stjernevann	stl2	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	stjernevann	stl3	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	stjernevann	stl4	lemming	2005	spring	2005spring	2	0	0	0	0
varanger	stjernevann	stl5	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	stjernevann	stl6	lemming	2005	spring	2005spring	0	0	0	0	0
